ID;NAME;Year -1;Industry;ESG-Score;E-Score;S-Score;G-Score;TRJAN;TRFEB;TRMRZ;TRAPR;TRMAI;TRJUN;TRJUN;TRJUL;TRAUG;TRSEP;TROKT;TRNOV;TRYEAR;MRJAN;MRFEB;MRMRZ;MRAPR;MRMAI;MRJUN;MRJUL;MRAUG;MRSEP;MROKT;MRNOV;MRDEZ;SMBJAN;SMBFEB;SMBMRZ;SMBAPR;SMBMAI;SMBJUN;SMBJUL;SMBAUG;SMBSEP;SMBOKT;SMBNOV;SMBDEZ;HMLJAN;HMLFEB;HMLMRZ;HMLAPR;HMLMAI;HMLJUN;HMLJUL;HMLAUG;HMLSEP;HMLOKT;HMLNOV;HMLDEZ;MOMJAN;MOMFEB;MOMMRZ;MOMAPR;MOMMAI;MOMJUN;MOMJUL;MOMAUG;MOMSEP;MOMOKT;MOMNOV;MOMDEZ;YEARMR;YEARSMB;YEARHML;YEARMOM
5;3M Co;2012;Industrial Conglomerates;87.58078012;30.75;33.0625;23.76828012;8.292945611;3.966257048;2.221153846;-1.505032452;5.913494017;-1.857835219;7.389117513;-2.737038419;5.132945939;5.393183149;7.513650644;5.048310989;44.77115267;5.05;4.42;3.11;-0.85;-6.19;3.89;0.79;2.55;2.73;-1.76;0.78;1.18;2.15;-1.75;-0.6;-0.51;0.02;0.77;-2.59;0.42;0.51;-1.14;0.58;1.47;-1.11;0.09;0.87;-0.46;-0.62;0.44;-0.26;1.32;1.54;3.79;-0.96;3.56;-7.97;-0.3;1.5;3.83;6.6;-1.12;3.07;-2.49;-1.02;0.1;0.38;-2.97;1.308333333;-0.055833333;0.683333333;-0.0325
5;3M Co;2013;Industrial Conglomerates;86.65344879;30;32.60294118;24.05050761;-8.598930481;4.470472097;0.69026943;3.643815202;3.110567505;0.484040689;-1.640603185;2.811734177;-1.61111111;8.533314514;5.819712508;2.642263725;20.35554507;5.57;1.29;1.29;1.55;2.8;-1.2;5.65;-2.71;3.77;4.18;3.12;2.81;0.39;-0.45;-0.45;-2.42;1.67;1.22;1.86;0.3;2.93;-1.49;1.24;-0.5;0.95;0.03;0.03;0.63;2.6;-0.18;0.56;-2.78;-1.19;1.14;0.24;-0.31;-1.88;1.31;1.31;0.25;-1.8;0.59;1.74;0.05;2.97;0.16;0.4;0.07;2.343333333;0.358333333;0.143333333;0.430833333
5;3M Co;2014;Industrial Conglomerates;88.05086818;30.53846154;31.74038462;25.77202202;-1.229308667;3.514082253;-2.193892677;-5.817524842;2.364055493;-3.004777471;-1.918340895;-5.419063025;-1.691976981;10.8908796;0.247900823;-3.793587944;-8.051554337;-3.32;4.65;0.43;-0.19;2.06;2.61;-2.04;4.24;-1.97;2.52;2.55;-0.06;0.86;0.32;-1.89;-4.25;-1.85;3.07;-4.24;0.36;-3.83;4.23;-2.09;2.54;-2.09;-0.4;5.08;1.14;-0.27;-0.74;0.01;-0.58;-1.23;-1.68;-2.99;2.06;1.72;2.08;-3.3;-3.85;1.15;0.68;-0.24;0.82;0.53;0;1.05;1.06;0.956666667;-0.564166667;-0.140833333;0.141666667
5;3M Co;2015;Industrial Conglomerates;84.77024124;30.75;31.78240741;22.23783383;0.238980351;4.643829374;6.221712242;0.377811095;1.230721004;3.688791521;1.85015989;1.113541261;-2.175964474;-6.202122226;4.269926805;3.976941891;19.23432873;-3.11;6.13;-1.12;0.59;1.36;-1.53;1.54;-6.04;-3.08;7.75;0.56;-2.17;-0.56;0.48;3.02;-2.97;0.87;2.83;-4.14;0.48;-2.64;-1.97;3.64;-2.82;-3.47;-1.79;-0.46;1.86;-1.37;-0.79;-4.12;2.68;0.52;-0.08;-0.52;-2.58;3.87;-2.84;2.98;-7.37;6.01;3.04;10.28;-2.07;5.32;-3.97;2.28;3.44;0.073333333;-0.315;-0.843333333;1.7475
5;3M Co;2016;Industrial Conglomerates;87.49566457;30.62727273;32.57727273;24.29111912;-2.1000168;5.676735503;2.672390662;2.378711837;5.041655813;2.840347757;-3.371919882;2.154678155;3.048750553;9.666507859;5.780301966;-3.195689725;30.5924537;-5.77;-0.07;6.96;0.92;1.78;-0.05;3.95;0.5;0.25;-2.02;4.86;1.82;-3.36;0.78;0.87;0.68;-0.26;0.65;2.65;1.15;2.02;-4.37;5.49;0.07;2.1;-0.48;1.12;3.26;-1.81;-1.49;-1.13;3.31;-1.48;4.18;8.27;3.6;1.37;-4.09;-5.14;-6.23;1.94;4.21;-3.05;-3.09;-0.56;0.65;-4.22;-0.36;1.094166667;0.530833333;1.620833333;-1.5475
6;8x8 Inc;2016;Telecommunications Services;23.45029807;5.358490566;9.064465409;9.027342094;10.83916084;-5.919003118;0.993377483;-4.590163934;-6.185567011;6.985294118;-12.71477663;11.41732283;-1.81818182;-1.111111112;6.818181819;-5.63E-10;4.714533462;-5.77;-0.07;6.96;0.92;1.78;-0.05;3.95;0.5;0.25;-2.02;4.86;1.82;-3.36;0.78;0.87;0.68;-0.26;0.65;2.65;1.15;2.02;-4.37;5.49;0.07;2.1;-0.48;1.12;3.26;-1.81;-1.49;-1.13;3.31;-1.48;4.18;8.27;3.6;1.37;-4.09;-5.14;-6.23;1.94;4.21;-3.05;-3.09;-0.56;0.65;-4.22;-0.36;1.094166667;0.530833333;1.620833333;-1.5475
7;A Schulman Inc;2016;Chemicals;21.86132515;4.466850829;3.802486188;13.59198813;3.788583275;-5.196629212;-6.814814815;2.624292159;-7.424960505;9.215017063;-17.26987721;15.58935361;13.26699834;15.73584675;-1.171875002;-1.844532279;20.49740218;-5.77;-0.07;6.96;0.92;1.78;-0.05;3.95;0.5;0.25;-2.02;4.86;1.82;-3.36;0.78;0.87;0.68;-0.26;0.65;2.65;1.15;2.02;-4.37;5.49;0.07;2.1;-0.48;1.12;3.26;-1.81;-1.49;-1.13;3.31;-1.48;4.18;8.27;3.6;1.37;-4.09;-5.14;-6.23;1.94;4.21;-3.05;-3.09;-0.56;0.65;-4.22;-0.36;1.094166667;0.530833333;1.620833333;-1.5475
8;A. O. Smith Corp;2015;Machinery, Tools, Heavy Vehicles, Trains & Ships;36.6132495;7.349173554;17.61466942;11.64940653;-8.823913327;1.114544933;8.425689117;1.353242371;6.57860658;5.723542114;5.69509782;3.864786306;2.013630729;-8.309096865;8.090686819;-2.63212009;23.09469651;-3.11;6.13;-1.12;0.59;1.36;-1.53;1.54;-6.04;-3.08;7.75;0.56;-2.17;-0.56;0.48;3.02;-2.97;0.87;2.83;-4.14;0.48;-2.64;-1.97;3.64;-2.82;-3.47;-1.79;-0.46;1.86;-1.37;-0.79;-4.12;2.68;0.52;-0.08;-0.52;-2.58;3.87;-2.84;2.98;-7.37;6.01;3.04;10.28;-2.07;5.32;-3.97;2.28;3.44;0.073333333;-0.315;-0.843333333;1.7475
8;A. O. Smith Corp;2016;Machinery, Tools, Heavy Vehicles, Trains & Ships;46.35473687;12.04347826;19.26992754;15.04133107;3.253410588;3.664059283;1.588562353;5.636302573;1.837416479;3.585877162;-4.688327521;3.996265171;7.917196299;-0.151359058;7.164582627;-3.374329865;30.42965609;-5.77;-0.07;6.96;0.92;1.78;-0.05;3.95;0.5;0.25;-2.02;4.86;1.82;-3.36;0.78;0.87;0.68;-0.26;0.65;2.65;1.15;2.02;-4.37;5.49;0.07;2.1;-0.48;1.12;3.26;-1.81;-1.49;-1.13;3.31;-1.48;4.18;8.27;3.6;1.37;-4.09;-5.14;-6.23;1.94;4.21;-3.05;-3.09;-0.56;0.65;-4.22;-0.36;1.094166667;0.530833333;1.620833333;-1.5475
9;A10 Networks Inc;2016;Software & IT Services;34.53456666;10.39962825;17.65613383;6.478804578;-4.091456076;18.8442211;-3.276955603;-9.999999998;0.864197529;0.956937801;-16.23222749;-7.355021216;16.66666667;-3.306878308;7.795698926;-3.740648379;-2.875465041;-5.77;-0.07;6.96;0.92;1.78;-0.05;3.95;0.5;0.25;-2.02;4.86;1.82;-3.36;0.78;0.87;0.68;-0.26;0.65;2.65;1.15;2.02;-4.37;5.49;0.07;2.1;-0.48;1.12;3.26;-1.81;-1.49;-1.13;3.31;-1.48;4.18;8.27;3.6;1.37;-4.09;-5.14;-6.23;1.94;4.21;-3.05;-3.09;-0.56;0.65;-4.22;-0.36;1.094166667;0.530833333;1.620833333;-1.5475
10;Aaon Inc;2015;Machinery, Tools, Heavy Vehicles, Trains & Ships;21.04571511;2.938016529;9.003099174;9.104599407;-7.27820844;15.18810961;12.90322581;-4.604316549;3.469079936;-1.14871636;-3.744093058;6.873111782;2.307419242;3.920888272;12.15619694;0.455927051;40.49862424;-3.11;6.13;-1.12;0.59;1.36;-1.53;1.54;-6.04;-3.08;7.75;0.56;-2.17;-0.56;0.48;3.02;-2.97;0.87;2.83;-4.14;0.48;-2.64;-1.97;3.64;-2.82;-3.47;-1.79;-0.46;1.86;-1.37;-0.79;-4.12;2.68;0.52;-0.08;-0.52;-2.58;3.87;-2.84;2.98;-7.37;6.01;3.04;10.28;-2.07;5.32;-3.97;2.28;3.44;0.073333333;-0.315;-0.843333333;1.7475
10;Aaon Inc;2016;Machinery, Tools, Heavy Vehicles, Trains & Ships;22.20862515;4.873188406;7.849637681;9.485799067;2.723146748;-3.857142859;5.052005942;3.971631209;-1.296043658;2.303460114;-8.276797829;-3.550295857;6.733746131;1.522842641;6.644136373;0.685871059;12.65656001;-5.77;-0.07;6.96;0.92;1.78;-0.05;3.95;0.5;0.25;-2.02;4.86;1.82;-3.36;0.78;0.87;0.68;-0.26;0.65;2.65;1.15;2.02;-4.37;5.49;0.07;2.1;-0.48;1.12;3.26;-1.81;-1.49;-1.13;3.31;-1.48;4.18;8.27;3.6;1.37;-4.09;-5.14;-6.23;1.94;4.21;-3.05;-3.09;-0.56;0.65;-4.22;-0.36;1.094166667;0.530833333;1.620833333;-1.5475
12;Aaron's Inc;2009;Specialty Retailers;36.50916193;7.028409091;20.84090909;8.63984375;-2.364273203;8.163265307;13.83647799;-29.18518518;-16.26569038;-12.86695815;5.017921145;-10.03412969;36.80297398;2.717391304;5.396825397;2.35943775;3.578056262;-8.12;-10.1;8.95;10.19;5.21;0.43;7.72;3.33;4.08;-2.59;5.56;2.75;-0.01;0.16;-0.08;4.83;-2.33;2.61;2.07;-0.9;2.45;-4.23;-2.49;6.11;-11.1;-7.25;3.52;5.46;-0.21;-2.71;5.27;7.76;0.92;-4.18;-0.17;0.01;-1.83;4.18;-11.38;-34.39;-12.44;5.29;-5.36;-8.84;-4.93;2.65;0.29;2.91;2.284166667;0.6825;-0.223333333;-5.320833333
12;Aaron's Inc;2010;Specialty Retailers;39.35779099;7.759803922;19.29656863;12.30141844;-5.885237861;22.09543569;7.794720715;14.38220103;-2.014588399;1.811894216;-10.79263977;5.723919078;-5.171465103;5.980198021;-2.4266498;1.522070015;33.01985783;-3.36;3.4;6.31;2;-7.89;-5.56;6.93;-4.77;9.54;3.88;0.6;6.82;0.38;1.21;1.43;4.98;0.05;-1.98;0.17;-3;3.92;1.14;3.71;0.69;0.31;3.17;2.1;2.81;-2.38;-4.5;-0.26;-1.96;-3.12;-2.59;-0.9;3.82;-5.38;3.6;3.66;3.22;-0.13;-3;1.88;-0.19;1.35;1.64;2.53;-3.19;1.491666667;1.058333333;-0.291666667;0.499166667
12;Aaron's Inc;2011;Specialty Retailers;34.2039886;7.263888889;18.53240741;8.407692308;-0.262368815;-0.214285715;-7.250778769;4.903474906;-2.281928599;6.609740369;3.602967149;1.89276188;-5.983772819;10.85940309;-4.753175867;-1.463414637;5.658622177;1.99;3.49;0.45;2.9;-1.27;-1.75;-2.36;-5.99;-7.59;11.35;-0.28;0.74;-2.46;1.52;2.6;-0.35;-0.71;-0.17;-1.3;-3.06;-3.49;3.41;-0.17;-0.71;0.83;1.08;-1.57;-2.53;-2.07;-0.33;-1.23;-2.44;-1.46;-0.17;-0.34;1.75;-0.32;2.03;3.51;0.07;-0.56;1.78;0.08;-0.31;-2.55;-1.42;3.99;1.94;0.14;-0.4075;-0.706666667;0.686666667
12;Aaron's Inc;2012;Specialty Retailers;40.08879633;6.668141593;19.30530973;14.11534501;4.844413011;-8.637428859;5.158668585;0.10460251;-2.159526297;-0.223357817;2.320599787;-5.490126263;2.327299594;2.418772563;0.670676162;2.653631285;3.988224259;5.05;4.42;3.11;-0.85;-6.19;3.89;0.79;2.55;2.73;-1.76;0.78;1.18;2.15;-1.75;-0.6;-0.51;0.02;0.77;-2.59;0.42;0.51;-1.14;0.58;1.47;-1.11;0.09;0.87;-0.46;-0.62;0.44;-0.26;1.32;1.54;3.79;-0.96;3.56;-7.97;-0.3;1.5;3.83;6.6;-1.12;3.07;-2.49;-1.02;0.1;0.38;-2.97;1.308333333;-0.055833333;0.683333333;-0.0325
12;Aaron's Inc;2013;Specialty Retailers;30.58100318;7.042372881;18.08050847;5.458121827;-8.537414966;14.44361742;-1.594533028;-2.546296296;11.43535799;8.594361368;-25.98204265;-2.801364672;-5.074160812;1.809210524;17.27128753;7.716701903;14.73472431;5.57;1.29;1.29;1.55;2.8;-1.2;5.65;-2.71;3.77;4.18;3.12;2.81;0.39;-0.45;-0.45;-2.42;1.67;1.22;1.86;0.3;2.93;-1.49;1.24;-0.5;0.95;0.03;0.03;0.63;2.6;-0.18;0.56;-2.78;-1.19;1.14;0.24;-0.31;-1.88;1.31;1.31;0.25;-1.8;0.59;1.74;0.05;2.97;0.16;0.4;0.07;2.343333333;0.358333333;0.143333333;0.430833333
12;Aaron's Inc;2014;Specialty Retailers;24.70073172;6.561983471;15.97933884;2.159409409;3.565587178;-7.708978327;-4.953998017;20.91038407;3.029411763;3.437674035;2.126484396;1.811790159;-4.612924814;-31.6809748;-1.521748341;-7.74618871;-23.34348141;-3.32;4.65;0.43;-0.19;2.06;2.61;-2.04;4.24;-1.97;2.52;2.55;-0.06;0.86;0.32;-1.89;-4.25;-1.85;3.07;-4.24;0.36;-3.83;4.23;-2.09;2.54;-2.09;-0.4;5.08;1.14;-0.27;-0.74;0.01;-0.58;-1.23;-1.68;-2.99;2.06;1.72;2.08;-3.3;-3.85;1.15;0.68;-0.24;0.82;0.53;0;1.05;1.06;0.956666667;-0.564166667;-0.140833333;0.141666667
12;Aaron's Inc;2015;Specialty Retailers;29.39443202;8.098591549;16.88204225;4.41379822;2.188477;0.480769233;9.289582964;4.630738523;-4.235024799;-12.42285056;9.410689814;1.816283924;2.357553695;-2.793076317;19.68762844;9.948609848;40.35938176;-3.11;6.13;-1.12;0.59;1.36;-1.53;1.54;-6.04;-3.08;7.75;0.56;-2.17;-0.56;0.48;3.02;-2.97;0.87;2.83;-4.14;0.48;-2.64;-1.97;3.64;-2.82;-3.47;-1.79;-0.46;1.86;-1.37;-0.79;-4.12;2.68;0.52;-0.08;-0.52;-2.58;3.87;-2.84;2.98;-7.37;6.01;3.04;10.28;-2.07;5.32;-3.97;2.28;3.44;0.073333333;-0.315;-0.843333333;1.7475
12;Aaron's Inc;2016;Specialty Retailers;33.54289054;12.94848485;15.99393939;4.600466299;-3.282275709;-10.67452521;9.123158121;20.40201005;1.613800776;7.803339004;18.97172237;-4.343128781;-1.426601273;-15.65436626;1.753439438;5.734861861;30.02143438;-5.77;-0.07;6.96;0.92;1.78;-0.05;3.95;0.5;0.25;-2.02;4.86;1.82;-3.36;0.78;0.87;0.68;-0.26;0.65;2.65;1.15;2.02;-4.37;5.49;0.07;2.1;-0.48;1.12;3.26;-1.81;-1.49;-1.13;3.31;-1.48;4.18;8.27;3.6;1.37;-4.09;-5.14;-6.23;1.94;4.21;-3.05;-3.09;-0.56;0.65;-4.22;-0.36;1.094166667;0.530833333;1.620833333;-1.5475
13;Abaxis Inc;2016;Healthcare Equipment & Supplies;52.30507303;20.76838235;14.93198529;16.60470538;-3.439454235;1.166920344;-2.708124374;-6.828057108;7.786366878;6.572864319;-11.35420596;-1.357916721;-2.16914987;8.398656214;2.173004598;1.600328272;-0.158767643;-5.77;-0.07;6.96;0.92;1.78;-0.05;3.95;0.5;0.25;-2.02;4.86;1.82;-3.36;0.78;0.87;0.68;-0.26;0.65;2.65;1.15;2.02;-4.37;5.49;0.07;2.1;-0.48;1.12;3.26;-1.81;-1.49;-1.13;3.31;-1.48;4.18;8.27;3.6;1.37;-4.09;-5.14;-6.23;1.94;4.21;-3.05;-3.09;-0.56;0.65;-4.22;-0.36;1.094166667;0.530833333;1.620833333;-1.5475
14;Abbott Laboratories;2007;Pharmaceuticals;71.56797406;17.84693878;33.51530612;20.20572917;0.80576664;-4.799999999;2.987861812;0.074729852;6.824644552;-5.998225376;6.36E+00;1.934682288;0.261187532;-3.522930693;-3.977272729;1.870585991;2.823121621;1.4;-1.96;0.68;3.49;3.24;-1.96;-3.73;0.92;3.22;1.8;-4.83;-0.87;0.1;1.32;-0.06;-2.06;0.03;0.77;-2.51;-0.13;-2.29;0.22;-2.63;0.2;-0.11;-0.09;-0.22;-1.15;-0.05;-1.13;-3.34;-2.24;-1.87;-2.59;-1.18;-0.52;0.21;-1.35;2.47;-0.16;-0.26;0.38;2.8;0.11;4.59;4.96;0.93;6.52;0.116666667;-0.586666667;-1.2075;1.766666667
14;Abbott Laboratories;2008;Pharmaceuticals;76.57354544;20.5625;34.70089286;21.31015258;4.625612927;-13.86462882;0.760456274;-11.82460444;7.670250896;4.394141146;-3.529026724;0.533451877;7.730836239;3.047123271;7.751631402;-0.917599562;6.377644489;-6.36;-3.09;-0.93;4.6;1.86;-8.44;-0.77;1.53;-9.24;-17.23;-7.86;1.74;-0.89;-0.23;0.94;-1.64;3.22;1.27;2.47;3.61;-1.13;-2.34;-2.99;3.59;3.65;-0.95;-0.15;-0.96;-1.38;-2.43;5.81;1.56;6.33;-2.9;-5.94;-0.24;-7.89;6.14;4.1;-0.2;3.21;12.54;-5.15;-4.05;0.35;7.79;7.11;-5.07;-3.6825;0.49;0.2;1.573333333
14;Abbott Laboratories;2009;Pharmaceuticals;75.01588542;19.84375;34.9921875;20.17994792;-1.235416311;0.611677479;-2.947678701;-1.750954497;-7.036747459;-1.64003364;5.885024436;0.52974735;5.556678117;-0.948294958;-9.372564301;3.010105354;-9.338457132;-8.12;-10.1;8.95;10.19;5.21;0.43;7.72;3.33;4.08;-2.59;5.56;2.75;-0.01;0.16;-0.08;4.83;-2.33;2.61;2.07;-0.9;2.45;-4.23;-2.49;6.11;-11.1;-7.25;3.52;5.46;-0.21;-2.71;5.27;7.76;0.92;-4.18;-0.17;0.01;-1.83;4.18;-11.38;-34.39;-12.44;5.29;-5.36;-8.84;-4.93;2.65;0.29;2.91;2.284166667;0.6825;-0.223333333;-5.320833333
14;Abbott Laboratories;2010;Pharmaceuticals;74.69660436;19.10447761;33.90671642;21.68541033;-4.868251287;5.737524732;1.975051974;7.302140037;0.403535743;2.075654706;-1.583408197;2.3187841;-1.17874396;6.304508513;0.608631501;3.079743356;22.17517122;-3.36;3.4;6.31;2;-7.89;-5.56;6.93;-4.77;9.54;3.88;0.6;6.82;0.38;1.21;1.43;4.98;0.05;-1.98;0.17;-3;3.92;1.14;3.71;0.69;0.31;3.17;2.1;2.81;-2.38;-4.5;-0.26;-1.96;-3.12;-2.59;-0.9;3.82;-5.38;3.6;3.66;3.22;-0.13;-3;1.88;-0.19;1.35;1.64;2.53;-3.19;1.491666667;1.058333333;-0.291666667;0.499166667
